# iter  res_u  res_v
     100    0.403511E-03    0.194988E-03
     200    0.228253E-03    0.120627E-03
     300    0.158701E-03    0.906445E-04
     400    0.121618E-03    0.727061E-04
     500    0.963440E-04    0.638865E-04
     600    0.801202E-04    0.549393E-04
     700    0.692394E-04    0.487538E-04
     800    0.604388E-04    0.431563E-04
     900    0.509633E-04    0.422635E-04
    1000    0.484204E-04    0.353788E-04
    1100    0.419851E-04    0.348592E-04
    1200    0.409271E-04    0.394738E-04
    1300    0.347841E-04    0.410647E-04
    1400    0.385912E-04    0.334810E-04
    1500    0.379531E-04    0.305018E-04
    1600    0.361634E-04    0.299120E-04
    1700    0.357901E-04    0.286647E-04
    1800    0.286184E-04    0.324735E-04
    1900    0.299823E-04    0.293066E-04
    2000    0.309872E-04    0.269828E-04
    2100    0.282303E-04    0.294981E-04
    2200    0.411516E-04    0.343075E-04
    2300    0.444903E-04    0.482682E-04
    2400    0.424870E-04    0.501158E-04
    2500    0.449622E-04    0.457398E-04
    2600    0.474535E-04    0.397987E-04
    2700    0.418305E-04    0.448347E-04
    2800    0.523370E-04    0.472926E-04
    2900    0.450165E-04    0.433997E-04
    3000    0.600330E-04    0.464138E-04
    3100    0.451399E-04    0.476927E-04
    3200    0.433849E-04    0.421147E-04
    3300    0.415002E-04    0.460778E-04
    3400    0.492787E-04    0.484232E-04
    3500    0.446269E-04    0.417047E-04
    3600    0.416330E-04    0.417579E-04
    3700    0.447508E-04    0.430829E-04
    3800    0.425028E-04    0.472423E-04
    3900    0.440070E-04    0.479682E-04
    4000    0.453999E-04    0.509243E-04
    4100    0.431758E-04    0.476291E-04
    4200    0.465501E-04    0.436760E-04
    4300    0.933780E-04    0.117747E-03
    4400    0.903887E-04    0.115478E-03
    4500    0.857024E-04    0.954730E-04
    4600    0.922261E-04    0.105854E-03
    4700    0.957424E-04    0.108965E-03
    4800    0.673598E-04    0.849795E-04
    4900    0.800556E-04    0.806287E-04
    5000    0.802948E-04    0.946192E-04
