id,file,name,lineno,end_lineno,length,complexity,doc_present,cfd_tags,parameters
d77356c6e478d980,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,load_jsonl,37,50,14,7,False,,path
e1a818efefd801ab,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,load_function_catalog,53,72,20,12,False,cfd,path
7235bbaf3fdc5ee9,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,bucket_time,76,83,8,3,False,,ts_iso
081921582436ebc1,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,build_timeline,86,104,19,8,False,,entries
d13b0b29f6a76c51,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,quality_score,108,124,17,5,False,cfd,row
9f92ec826f47503b,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,enrich_quality,127,130,4,3,False,,functions
d3731d3ab3c6e06a,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,load_dependency_graph,134,137,4,2,False,,path
7c87e2068deed4a8,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,compute_module_centrality,140,156,17,9,False,,graph
a6659b669a43ed70,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,load_evolution_chains,160,166,7,3,False,,path
1fc6a23f439cdbfd,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,file_stats_map,169,173,5,3,False,,entries
0f879e0eae0ad77a,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,chain_maturation,176,199,24,6,False,,chains|name_map
d6f1d4d054776103,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,orphan_salvage,203,207,5,8,False,,functions|entries
8a8a2ce306bff558,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,refactor_candidates,211,227,17,8,False,,functions
a14e07fdd17fde73,C:\Users\Elite\Documents\commands\generate_deeper_analysis.py,main,231,307,77,39,False,cfd,
24c7473e723e2cdc,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,hash_path,66,67,2,1,False,,path
af3fcacbd79d194b,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,safe_read,70,79,10,6,False,,path
2436fca6794d0b9e,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,classify_from_path,82,97,16,17,False,,path
6cd866f21cbe7142,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,extract_datetime_hint,100,117,18,6,False,,name
acbd1d5109507f14,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,analyze_code,120,162,43,21,False,,text|filename
8cd9fc58e0cfcba1,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,extract_fail_reason,165,175,11,9,False,,text
3d6dbedbbb89bb14,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,remediation_suggestions,178,183,6,4,False,,text
08a1972a2dc30753,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,keyword_hits,186,192,7,4,False,,text
c4a94d34bd7d95ec,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,size_bucket,195,200,6,5,False,,n
c80556bd46214072,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,build_entry,203,246,44,25,False,,path
a681124630537218,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,aggregate,249,284,36,11,False,,entries
bb7352464a744e79,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,make_report,287,322,36,16,False,,entries|agg
93dffa76d609b9ba,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,make_training_prompt,325,348,24,13,False,cfd|solver,agg
8ced268c6b34137e,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,main,351,391,41,20,False,,
4b878f5a78b6086d,C:\Users\Elite\Documents\commands\generate_learning_dataset.py,section,301,302,2,1,False,,title
af1f242308d208ba,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,sha16,31,32,2,1,False,,s
82f9abd4f8ae35bb,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,list_py,34,42,9,12,False,,
276520f58b0a450a,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,read_text,44,48,5,2,False,,p
f6980fb8cbab4c9e,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,func_complexity,52,55,4,3,False,,src_lines|start|end
3b3a1eea564a2ac7,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,cfd_tags,57,59,3,4,False,cfd,name|text
abe34a47613b5981,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,extract_functions,63,99,37,14,False,cfd,p
47f9a12014f43a68,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,build_dependency_graph,101,126,26,17,False,,py_files
98bead062a195d6a,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,module_name,128,133,6,2,False,,p
ed61d9e798968f98,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,time_hint,137,151,15,8,False,,name
8e291714773cebc1,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,evolution_chains,153,173,21,9,False,,py_files
5a265c07e24c9f0b,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,cluster_failures,175,194,20,12,False,,
ed662b5a0194a11d,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,normalize_failure,198,202,5,4,False,,text
94c81c2c2154ebe4,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,frequent_signature_stems,204,213,10,5,False,,funcs
2466da5edd56be10,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,build_scaffold_recommendation,215,241,27,11,False,boundary|cfd|flux|mesh|solver,funcs|deps
9f001b827ea3dd1f,C:\Users\Elite\Documents\commands\generate_learning_dataset_extended.py,main,243,305,63,42,False,cfd,
f7c945f08dbb5fb6,C:\Users\Elite\Documents\commands\postmortem_workspace.py,walk_workspace,19,40,22,14,False,,root
39c18304cdf35778,C:\Users\Elite\Documents\commands\postmortem_workspace.py,main,42,55,14,2,False,,
b7d4b421fa68ff10,C:\Users\Elite\Documents\commands\workspace_full_scan.py,summarize_file,23,75,53,19,False,cfd|solver,path
9ed6b5b9690011fc,C:\Users\Elite\Documents\commands\workspace_full_scan.py,scan_workspace,77,85,9,5,False,,root
c84e09c62ef6cf00,C:\Users\Elite\Documents\commands\workspace_full_scan.py,main,87,91,5,4,False,,
8678583a0cada1c2,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,assemble_momentum_matrix,104,444,341,142,True,boundary|flux|pressure|residual|solver|velocity,grid|rho|mu|u|v|is_u_momentum
494bc4a915e31777,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,assemble_pressure_correction_matrix,446,677,232,124,True,boundary|flux|pressure|velocity,grid|rho|u|v|ap_u|ap_v
c838556c3d2902f9,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,assemble_momentum_matrix,715,915,201,83,True,boundary|flux|pressure|solver|velocity,grid|rho|mu|u|v|p|is_u_momentum
08ec4697e9bf02bb,C:\Users\Elite\Documents\commands\Colab\cfd_v021.py,assemble_pressure_correction_matrix,918,1113,196,128,True,boundary|pressure|velocity,grid|rho|u|v|ap_u|ap_v
